layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
23,11,1.0,0.6666666666666666,28,22,6
23,12,1.0,0.5,28,22,6
23,13,1.0,0.5,26,20,6
23,14,1.0,0.8,25,20,5
23,15,1.0,0.25,19,15,4
23,16,1.0,0.75,18,14,4
23,17,1.0,0.75,17,13,4
23,18,1.0,0.75,16,12,4
24,0,1.0,0.16666666666666666,30,24,6
24,1,1.0,0.5,30,24,6
24,2,1.0,0.16666666666666666,30,24,6
24,3,1.0,0.3333333333333333,30,24,6
24,4,1.0,0.16666666666666666,30,24,6
24,5,1.0,0.5,30,24,6
24,6,1.0,0.6666666666666666,29,23,6
24,7,1.0,0.8333333333333334,29,23,6
24,8,1.0,0.6666666666666666,29,23,6
24,9,1.0,0.6666666666666666,28,22,6
24,10,1.0,0.6666666666666666,28,22,6
24,11,1.0,0.8333333333333334,28,22,6
24,12,1.0,0.5,28,22,6
24,13,1.0,0.6666666666666666,26,20,6
24,14,1.0,0.8,25,20,5
24,15,1.0,0.5,19,15,4
24,16,1.0,1.0,18,14,4
24,17,1.0,0.75,17,13,4
24,18,1.0,0.75,16,12,4
25,0,1.0,0.16666666666666666,30,24,6
25,1,1.0,0.5,30,24,6
25,2,1.0,0.16666666666666666,30,24,6
25,3,1.0,0.16666666666666666,30,24,6
25,4,1.0,0.16666666666666666,30,24,6
25,5,1.0,0.5,30,24,6
25,6,1.0,0.6666666666666666,29,23,6
25,7,1.0,0.8333333333333334,29,23,6
25,8,1.0,0.6666666666666666,29,23,6
25,9,1.0,0.6666666666666666,28,22,6
25,10,1.0,0.5,28,22,6
25,11,1.0,0.5,28,22,6
25,12,1.0,0.5,28,22,6
25,13,1.0,0.5,26,20,6
25,14,1.0,0.8,25,20,5
25,15,1.0,0.5,19,15,4
25,16,1.0,0.75,18,14,4
25,17,1.0,0.5,17,13,4
25,18,1.0,0.75,16,12,4
26,0,1.0,0.16666666666666666,30,24,6
26,1,1.0,0.5,30,24,6
26,2,1.0,0.16666666666666666,30,24,6
26,3,1.0,0.16666666666666666,30,24,6
26,4,1.0,0.16666666666666666,30,24,6
26,5,1.0,0.5,30,24,6
26,6,1.0,0.6666666666666666,29,23,6
26,7,1.0,0.8333333333333334,29,23,6
26,8,1.0,0.6666666666666666,29,23,6
26,9,1.0,0.6666666666666666,28,22,6
26,10,1.0,0.5,28,22,6
26,11,1.0,0.6666666666666666,28,22,6
26,12,1.0,0.5,28,22,6
26,13,1.0,0.5,26,20,6
26,14,1.0,0.8,25,20,5
26,15,1.0,0.5,19,15,4
26,16,1.0,1.0,18,14,4
26,17,1.0,0.5,17,13,4
26,18,1.0,0.75,16,12,4
27,0,1.0,0.16666666666666666,30,24,6
27,1,1.0,0.5,30,24,6
27,2,1.0,0.16666666666666666,30,24,6
27,3,1.0,0.16666666666666666,30,24,6
27,4,1.0,0.16666666666666666,30,24,6
27,5,1.0,0.5,30,24,6
27,6,1.0,0.6666666666666666,29,23,6
27,7,1.0,0.8333333333333334,29,23,6
27,8,1.0,0.6666666666666666,29,23,6
27,9,1.0,0.8333333333333334,28,22,6
27,10,1.0,0.5,28,22,6
27,11,1.0,0.5,28,22,6
27,12,1.0,0.5,28,22,6
27,13,1.0,0.5,26,20,6
27,14,1.0,0.6,25,20,5
27,15,1.0,0.5,19,15,4
27,16,1.0,1.0,18,14,4
27,17,1.0,0.5,17,13,4
27,18,1.0,0.75,16,12,4
28,0,1.0,0.16666666666666666,30,24,6
28,1,1.0,0.5,30,24,6
28,2,1.0,0.16666666666666666,30,24,6
28,3,1.0,0.3333333333333333,30,24,6
28,4,1.0,0.3333333333333333,30,24,6
28,5,1.0,0.3333333333333333,30,24,6
28,6,1.0,0.6666666666666666,29,23,6
28,7,1.0,0.8333333333333334,29,23,6
28,8,1.0,0.6666666666666666,29,23,6
28,9,1.0,0.8333333333333334,28,22,6
28,10,1.0,0.5,28,22,6
28,11,1.0,0.8333333333333334,28,22,6
28,12,1.0,0.5,28,22,6
28,13,1.0,0.5,26,20,6
28,14,1.0,0.6,25,20,5
28,15,1.0,0.25,19,15,4
