layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
16,9,1.0,1.0,28,24,4
16,10,1.0,0.25,28,24,4
16,11,1.0,0.25,28,24,4
16,12,1.0,0.25,28,24,4
16,13,1.0,0.25,26,22,4
16,14,1.0,0.25,25,21,4
16,15,1.0,0.0,19,15,4
16,16,1.0,0.0,18,14,4
16,17,1.0,0.0,17,13,4
16,18,1.0,0.0,16,12,4
16,19,1.0,0.5,14,10,4
16,20,1.0,0.0,14,10,4
16,21,1.0,0.3333333333333333,13,10,3
16,22,1.0,0.0,12,9,3
16,23,1.0,0.0,10,7,3
16,24,1.0,0.0,10,7,3
16,25,1.0,0.0,10,7,3
17,0,1.0,0.2,30,25,5
17,1,1.0,0.2,30,25,5
17,2,1.0,0.2,30,25,5
17,3,1.0,0.0,30,25,5
17,4,1.0,0.0,30,25,5
17,5,1.0,0.4,30,25,5
17,6,1.0,0.25,29,25,4
17,7,1.0,0.25,29,25,4
17,8,1.0,0.25,29,25,4
17,9,1.0,0.75,28,24,4
17,10,1.0,0.5,28,24,4
17,11,1.0,0.0,28,24,4
17,12,1.0,0.5,28,24,4
17,13,1.0,0.25,26,22,4
17,14,1.0,0.25,25,21,4
17,15,1.0,0.0,19,15,4
17,16,1.0,0.0,18,14,4
17,17,1.0,0.0,17,13,4
17,18,1.0,0.0,16,12,4
17,19,1.0,0.5,14,10,4
17,20,1.0,0.0,14,10,4
17,21,1.0,0.3333333333333333,13,10,3
17,22,1.0,0.0,12,9,3
17,23,1.0,0.0,10,7,3
17,24,1.0,0.0,10,7,3
17,25,1.0,0.0,10,7,3
18,0,1.0,0.2,30,25,5
18,1,1.0,0.2,30,25,5
18,2,1.0,0.2,30,25,5
18,3,1.0,0.0,30,25,5
18,4,1.0,0.0,30,25,5
18,5,1.0,0.6,30,25,5
18,6,1.0,0.25,29,25,4
18,7,1.0,0.5,29,25,4
18,8,1.0,0.25,29,25,4
18,9,1.0,0.75,28,24,4
18,10,1.0,0.5,28,24,4
18,11,1.0,0.0,28,24,4
18,12,1.0,0.5,28,24,4
18,13,1.0,0.25,26,22,4
18,14,1.0,0.25,25,21,4
18,15,1.0,0.0,19,15,4
18,16,1.0,0.25,18,14,4
18,17,1.0,0.0,17,13,4
18,18,1.0,0.0,16,12,4
18,19,1.0,0.5,14,10,4
18,20,1.0,0.5,14,10,4
18,21,1.0,0.6666666666666666,13,10,3
18,22,1.0,0.3333333333333333,12,9,3
18,23,1.0,0.0,10,7,3
18,24,1.0,0.0,10,7,3
18,25,1.0,0.0,10,7,3
19,0,1.0,0.2,30,25,5
19,1,1.0,0.2,30,25,5
19,2,1.0,0.2,30,25,5
19,3,1.0,0.0,30,25,5
19,4,1.0,0.0,30,25,5
19,5,1.0,0.6,30,25,5
19,6,1.0,0.25,29,25,4
19,7,1.0,0.5,29,25,4
19,8,1.0,0.25,29,25,4
19,9,1.0,1.0,28,24,4
19,10,1.0,0.25,28,24,4
19,11,1.0,0.0,28,24,4
19,12,1.0,0.0,28,24,4
19,13,1.0,0.25,26,22,4
19,14,1.0,0.0,25,21,4
19,15,1.0,0.0,19,15,4
19,16,1.0,0.0,18,14,4
19,17,1.0,0.0,17,13,4
19,18,1.0,0.0,16,12,4
19,19,1.0,0.5,14,10,4
19,20,1.0,0.5,14,10,4
19,21,1.0,0.3333333333333333,13,10,3
19,22,1.0,0.0,12,9,3
19,23,1.0,0.0,10,7,3
19,24,1.0,0.0,10,7,3
19,25,1.0,0.0,10,7,3
20,0,1.0,0.2,30,25,5
20,1,1.0,0.2,30,25,5
20,2,1.0,0.2,30,25,5
20,3,1.0,0.2,30,25,5
20,4,1.0,0.0,30,25,5
20,5,1.0,0.4,30,25,5
20,6,1.0,0.0,29,25,4
20,7,1.0,0.25,29,25,4
20,8,1.0,0.25,29,25,4
20,9,1.0,0.75,28,24,4
