layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
10,2,1.0,0.5454545454545454,55,44,11
10,3,1.0,0.36363636363636365,55,44,11
10,4,1.0,0.6363636363636364,55,44,11
10,5,1.0,0.45454545454545453,55,44,11
10,6,1.0,0.5454545454545454,54,43,11
10,7,1.0,0.36363636363636365,54,43,11
10,8,1.0,0.6363636363636364,54,43,11
10,9,1.0,0.5454545454545454,53,42,11
10,10,1.0,0.6363636363636364,53,42,11
10,11,1.0,0.5454545454545454,53,42,11
10,12,1.0,0.45454545454545453,52,41,11
10,13,1.0,0.6,49,39,10
10,14,1.0,0.4444444444444444,43,34,9
10,15,1.0,0.3333333333333333,35,29,6
10,16,1.0,0.4,31,26,5
10,17,1.0,0.4,29,24,5
10,18,1.0,0.5,27,23,4
10,19,1.0,0.5,25,21,4
10,20,1.0,0.5,24,20,4
10,21,1.0,0.5,23,19,4
10,22,1.0,0.5,22,18,4
10,23,1.0,0.3333333333333333,20,17,3
11,0,1.0,0.5454545454545454,55,44,11
11,1,1.0,0.5454545454545454,55,44,11
11,2,1.0,0.5454545454545454,55,44,11
11,3,1.0,0.36363636363636365,55,44,11
11,4,1.0,0.6363636363636364,55,44,11
11,5,1.0,0.45454545454545453,55,44,11
11,6,1.0,0.45454545454545453,54,43,11
11,7,1.0,0.36363636363636365,54,43,11
11,8,1.0,0.5454545454545454,54,43,11
11,9,1.0,0.45454545454545453,53,42,11
11,10,1.0,0.7272727272727273,53,42,11
11,11,1.0,0.5454545454545454,53,42,11
11,12,1.0,0.45454545454545453,52,41,11
11,13,1.0,0.6,49,39,10
11,14,1.0,0.4444444444444444,43,34,9
11,15,1.0,0.3333333333333333,35,29,6
11,16,1.0,0.6,31,26,5
11,17,1.0,0.4,29,24,5
11,18,1.0,0.5,27,23,4
11,19,1.0,0.5,25,21,4
11,20,1.0,0.5,24,20,4
11,21,1.0,0.5,23,19,4
11,22,1.0,0.5,22,18,4
11,23,1.0,0.3333333333333333,20,17,3
12,0,1.0,0.5454545454545454,55,44,11
12,1,1.0,0.5454545454545454,55,44,11
12,2,1.0,0.5454545454545454,55,44,11
12,3,1.0,0.36363636363636365,55,44,11
12,4,1.0,0.6363636363636364,55,44,11
12,5,1.0,0.45454545454545453,55,44,11
12,6,1.0,0.5454545454545454,54,43,11
12,7,1.0,0.45454545454545453,54,43,11
12,8,1.0,0.45454545454545453,54,43,11
12,9,1.0,0.45454545454545453,53,42,11
12,10,1.0,0.45454545454545453,53,42,11
12,11,1.0,0.5454545454545454,53,42,11
12,12,1.0,0.45454545454545453,52,41,11
12,13,1.0,0.6,49,39,10
12,14,1.0,0.3333333333333333,43,34,9
12,15,1.0,0.5,35,29,6
12,16,1.0,0.4,31,26,5
12,17,1.0,0.6,29,24,5
12,18,1.0,0.5,27,23,4
12,19,1.0,0.5,25,21,4
12,20,1.0,0.5,24,20,4
12,21,1.0,0.5,23,19,4
12,22,1.0,0.5,22,18,4
12,23,1.0,0.3333333333333333,20,17,3
13,0,1.0,0.45454545454545453,55,44,11
13,1,1.0,0.5454545454545454,55,44,11
13,2,1.0,0.6363636363636364,55,44,11
13,3,1.0,0.45454545454545453,55,44,11
13,4,1.0,0.6363636363636364,55,44,11
13,5,1.0,0.5454545454545454,55,44,11
13,6,1.0,0.45454545454545453,54,43,11
13,7,1.0,0.45454545454545453,54,43,11
13,8,1.0,0.5454545454545454,54,43,11
13,9,1.0,0.5454545454545454,53,42,11
13,10,1.0,0.6363636363636364,53,42,11
13,11,1.0,0.6363636363636364,53,42,11
13,12,1.0,0.36363636363636365,52,41,11
13,13,1.0,0.6,49,39,10
13,14,1.0,0.3333333333333333,43,34,9
13,15,1.0,0.5,35,29,6
13,16,1.0,0.6,31,26,5
13,17,1.0,0.6,29,24,5
13,18,1.0,0.5,27,23,4
13,19,1.0,0.5,25,21,4
13,20,1.0,0.5,24,20,4
13,21,1.0,0.5,23,19,4
13,22,1.0,0.5,22,18,4
