layer,sentence,train_mse,test_mse,train_r2,test_r2,n_samples,n_train,n_test
28,11,5.793571472166104e-09,0.041343345006306965,0.9999999635190651,0.2698388833266038,22,16,6
28,12,2.424001693725541e-07,0.03585357138315837,0.9999985308524149,0.205412109213432,22,16,6
28,13,2.3181621844941967e-09,0.025242065353393555,0.9999999845336273,0.2251330625800112,18,13,5
28,14,1.1834231289948471e-08,0.10325634788513186,0.9999999166001545,-5.558457055712133,16,11,5
28,15,3.2837854629260814e-09,0.12565936555862428,0.9999999771663781,-3.096474834836978,14,10,4
28,16,3.623962402342895e-09,0.03933387098292518,0.9999999718593302,-0.38343983698843553,13,9,4
28,17,6.949901580810374e-09,0.11626373353004454,0.9999999544492769,-1.5124523723402392,12,8,4
28,18,1.4591217041017815e-08,0.062114538755222236,0.9999998999059027,-0.4165066373490125,12,8,4
28,19,3.34058489118317e-07,0.09750651359558105,0.9999975919639333,-1.7423706948757167,10,7,3
29,0,5.856561072076881e-09,0.015388637187753011,0.9999998892806299,-1.015088091438665,24,18,6
29,1,8.88241661919452e-08,0.04094889839490255,0.9999975597756541,-2.9670622772241435,24,18,6
29,2,6.683581882406518e-08,0.10846236350138981,0.9999992507628302,-8.607886530634923,24,18,6
29,3,9.597804811265737e-08,0.04775623596509298,0.9999990552882544,-1.993078855750952,24,18,6
29,4,8.014120184633175e-09,0.029944095595677702,0.9999999402110512,0.16435082058573858,24,18,6
29,5,7.053050247255865e-09,0.07869225098292032,0.9999999544519561,-9.84579263164292,24,18,6
29,6,5.77326468356877e-09,0.057063707017898556,0.9999999605129446,-4.8896027885445745,23,17,6
29,7,2.3889479294319777e-07,0.07227984892527263,0.9999983921982427,-0.44175230569027857,23,17,6
29,8,1.0162756508852323e-08,0.09242465750376383,0.9999999276523303,-0.03860896183527829,23,17,6
29,9,1.8677711486816684e-07,0.029465853309631352,0.999998656022919,0.6139282576988176,22,16,6
29,10,5.0425529479965485e-09,0.02669816281958022,0.999999970140323,0.5836142877569945,22,16,6
29,11,5.793571472166104e-09,0.04855454222361246,0.9999999635190651,0.14248257454373603,22,16,6
29,12,2.424001693725541e-07,0.03870891202290854,0.9999985308524149,0.14213196698799113,22,16,6
29,13,2.3181621844941967e-09,0.039480638427734374,0.9999999845336273,-0.21195476509498956,18,13,5
29,14,1.1834231289948471e-08,0.098901949634552,0.9999999166001545,-5.281881963576726,16,11,5
29,15,3.2837854629260814e-09,0.101563978099823,0.9999999771663781,-2.3109691312085743,14,10,4
29,16,3.623962402342895e-09,0.03216621451260695,0.9999999718593302,-0.13134104144424152,13,9,4
29,17,6.949901580810374e-09,0.1294126075744629,0.9999999544492769,-1.7965987590375567,12,8,4
29,18,1.4591217041017815e-08,0.0800564370330499,0.9999998999059027,-0.8256671737789312,12,8,4
29,19,3.34058489118317e-07,0.09718267758687338,0.9999975919639333,-1.7332628071308136,10,7,3
30,0,5.856561072076881e-09,0.01556451300031921,0.9999998892806299,-1.0381184125223473,24,18,6
30,1,8.88241661919452e-08,0.03837148030598959,0.9999975597756541,-2.717366229859055,24,18,6
30,2,6.683581882406518e-08,0.11204770537217458,0.9999992507628302,-8.925485712102079,24,18,6
30,3,9.660720825195297e-08,0.06876292752027512,0.9999990490954324,-3.309654231772117,24,18,6
30,4,8.014120184633175e-09,0.046284031852086384,0.9999999402110512,-0.2916474005233409,24,18,6
30,5,7.053050247255865e-09,0.07841873520215352,0.9999999544519561,-9.808095203972153,24,18,6
30,6,9.244829266594834e-08,0.05774848570823669,0.9999993676869061,-4.960279488235437,23,17,6
30,7,2.3889479294319777e-07,0.06551562852859497,0.9999983921982427,-0.30682769671399557,23,17,6
30,8,1.0162756508852323e-08,0.06071217314402263,0.9999999276523303,0.31775557710550184,23,17,6
30,9,1.8677711486816684e-07,0.024202841456731166,0.999998656022919,0.6828860487544323,22,16,6
30,10,5.0425529479965485e-09,0.027191255064565375,0.999999970140323,0.5759239995893358,22,16,6
30,11,5.793571472166104e-09,0.05260225709279378,0.9999999635190651,0.07099624443653063,22,16,6
30,12,2.424001693725541e-07,0.029909748522440594,0.9999985308524149,0.337139284161622,22,16,6
30,13,2.3181621844941967e-09,0.039484388275146484,0.9999999845336273,-0.21206987583332793,18,13,5
30,14,1.1834231289948471e-08,0.09648138116836548,0.9999999166001545,-5.128136507137034,16,11,5
30,15,3.2837854629260814e-09,0.09956836214065551,0.9999999771663781,-2.245912376223489,14,10,4
30,16,3.623962402342895e-09,0.05286167751798427,0.9999999718593302,-0.859236040108067,13,9,4
30,17,6.949901580810374e-09,0.1285001260280609,0.9999999544492769,-1.7768800870461576,12,8,4
30,18,1.4591217041017815e-08,0.06305828702498455,0.9999998999059027,-0.43802858237017817,12,8,4
30,19,3.34058489118317e-07,0.053867918650309245,0.9999975919639333,-0.5150352120399475,10,7,3
31,0,5.856561072076881e-09,0.016301755019820074,0.9999998892806299,-1.134657670409764,24,18,6
31,1,8.88241661919452e-08,0.024450263182322185,0.9999975597756541,-1.3687014923670575,24,18,6
31,2,6.683581882406518e-08,0.11415898613135018,0.9999992507628302,-9.112508613997555,24,18,6
31,3,9.485218260023323e-08,0.05058494097789129,0.9999990663701465,-2.1703653816227124,24,18,6
31,4,8.014120184633175e-09,0.04856678206125895,0.9999999402110512,-0.3553520575235056,24,18,6
31,5,7.053050247255865e-09,0.0709117634455363,0.9999999544519561,-8.773443660181112,24,18,6
